"Style","Status","Source","Output","CandidateCount"
"FT-1002","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1002\主图10.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1002.jpg","15"
"FT-1003","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1003\FT003  1600\主图10.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1003.jpg","15"
"FT-1004","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1004\地贴主图1004.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1004.jpg","5"
"FT-1004-20","no_main_image_filename","","","0"
"FT-1005","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1005\地贴主图1005.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1005.jpg","16"
"FT-1005-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1005-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1005-20.jpg","8"
"FT-1006","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1006\地贴主图1006.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1006.jpg","9"
"FT-1006-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1006-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1006-20.jpg","4"
"FT-1006-20-1","no_main_image_filename","","","0"
"FT-1006-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1006-30\主图6-拷贝.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1006-30.jpg","1"
"FT-1007","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1007\主图10.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1007.jpg","11"
"FT-1008","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1008\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1008.jpg","16"
"FT-1009","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1009\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1009.jpg","14"
"FT-1010","no_main_image_filename","","","0"
"FT-1010-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1010-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1010-20.jpg","5"
"FT-1011","no_main_image_filename","","","0"
"FT-1011-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1011-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1011-20.jpg","4"
"FT-1012","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1012\地贴主图1012.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1012.jpg","1"
"FT-1013","no_main_image_filename","","","0"
"FT-1014","no_main_image_filename","","","0"
"FT-1015","no_main_image_filename","","","0"
"FT-1016","no_main_image_filename","","","0"
"FT-1016-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1016-20\主图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式主图汇总\FT-1016-20.jpg","5"
