"Style","Status","Source","Output","CandidateCount"
"FT-1002","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1002\场景图 (1).jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1002.jpg","2"
"FT-1003","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1003\场景展示.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1003.jpg","7"
"FT-1004","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1004\场景图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1004.jpg","7"
"FT-1004-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1004-20\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1004-20.jpg","3"
"FT-1005","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1005\场景图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1005.jpg","27"
"FT-1005-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1005-20\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1005-20.jpg","6"
"FT-1006","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1006\场景图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1006.jpg","10"
"FT-1006-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1006-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1006-20.jpg","5"
"FT-1006-20-1","no_scene_image_filename","","","0"
"FT-1006-30","no_scene_image_filename","","","0"
"FT-1007","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1007\场景图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1007.jpg","1"
"FT-1008","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1008\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1008.jpg","5"
"FT-1009","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1009\场景图.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1009.jpg","3"
"FT-1010","no_scene_image_filename","","","0"
"FT-1010-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1010-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1010-20.jpg","7"
"FT-1011","no_scene_image_filename","","","0"
"FT-1011-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1011-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1011-20.jpg","5"
"FT-1012","no_scene_image_filename","","","0"
"FT-1013","no_scene_image_filename","","","0"
"FT-1014","no_scene_image_filename","","","0"
"FT-1015","no_scene_image_filename","","","0"
"FT-1016","no_scene_image_filename","","","0"
"FT-1016-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1016-20\场景.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1016-20.jpg","14"
"FT-1017","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1017\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1017.jpg","6"
"FT-1017-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1017-20\场景1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1017-20.jpg","8"
"FT-1018","no_scene_image_filename","","","0"
"FT-1018-30","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1018-30\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1018-30.jpg","3"
"FT-1019","no_scene_image_filename","","","0"
"FT-1019-20","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1019-20\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1019-20.jpg","5"
"FT-1020","copied","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\FT-1020\场景图1.jpg","H:\claude\ru-site\material\佳润业\图包资料\FT地贴\款式场景图汇总\FT-1020.jpg","4"
"FT-1021","no_scene_image_filename","","","0"
